MeterpointID,MeterNumber,PostalCode,Id,Substation
707057500017225367,16632310,1692,91863,H725L
707057500017225169,15700660,1692,91867,H720L
707057500017223394,15674013,1692,91868,H705L
707057500017224582,15700393,1692,91869,H715L
707057500017224780,15699663,1692,91874,H720L
707057500017224643,15699795,1692,91875,H720L
707057500017224513,15700355,1692,91879,H715L
707057500017223431,16632143,1692,91880,H705L
707057500017224476,15700394,1692,91884,H715L
707057500017225145,15699791,1692,91885,H720L
707057500017223981,16632208,1692,91888,H713L
707057500017225442,15673478,1692,91891,H725L
707057500017224162,15672906,1692,91893,H713L
707057500017225121,15700216,1692,91897,H720L
707057500017223424,15674010,1684,91898,H705L
707057500017225732,15671995,1692,91899,H725L
707057500017223554,15700218,1692,91902,H710L
707057500017224797,15701503,1692,91903,H720L
707057500017225237,15700666,1692,91907,H720L
707057500017225992,15699621,1692,91909,H730L
707057500017224100,15701263,1692,91910,H713L
707057500017223516,15700304,1692,91912,H711L
707057500017223370,15673151,1692,91916,H705L
707057500017225626,15672001,1692,91918,H725L
707057500017224056,15672910,1692,91919,H713L
707057500017224025,15672907,1684,91922,H713L
707057500017225596,15701440,1692,91927,H725L
707057500017225978,15700757,1692,91928,H730L
707057500017224605,15700665,1692,91931,H720L
707057500017225152,15700670,1692,91932,H720L
707057500017225763,16632202,1692,91937,H725L
707057500017223448,15674007,1692,91938,H705L
707057500017225473,16632406,1692,91939,H725L
707057500017225213,15699665,1692,91940,H720L
707057500017225244,16632201,1692,91944,H725L
707057500017223462,15674108,1692,91947,H705L
707057500017225954,15672332,1692,91948,H730L
707057500017225497,15672892,1692,91949,
707057500017223547,18020259,1692,91950,H710L
707057500017225459,16632443,1692,91953,H725L
707057500017225527,15699429,1692,91957,H725L
707057500017224612,15700209,1692,91959,H720L
707057500017225206,15700661,1692,91960,H720L
707057500017225657,15699792,1692,91961,H758L
707057500017224032,15701171,1680,91963,H713L
707057500017224070,15672904,1692,91966,H713L
707057500017225589,15671988,1692,91971,H725L
