Num,Prod,SubstationId,SubstationName,MetarName,MaxLoad
1,rik32119502,45072,C073,Udis,1000
1,rik32119502,45073,C074,Bredalsveien 14,315
1,rik32119502,45074,C075,Yrkeskolen,1600
1,rik32119502,45075,C076,Fuglesang,500
1,rik32119502,45076,C077,Dalsbr?ten,500
1,rik32119502,45077,C078,Hauga,300
1,rik32119502,45078,C079,Veienmoen 2,200
1,rik32119502,45079,C080,Eikli,300
1,rik32119502,45080,C081,Veienmoen 3,500
1,rik32119502,45081,C082,Veienmoen 4,500
1,rik32119502,45082,C083,Ring auto,630
1,rik32119502,45083,C084,Villaheimen,200
1,rik32119502,45084,C085,Follum/Veien skole,500
1,rik32119502,45085,C086,Sentrumskvartalet,1250
1,rik32119502,45086,C087,Fossheim,300
1,rik32119502,45087,C088,Ellingrud,500
1,rik32119502,45088,C089,Dagali,315
1,rik32119502,45089,C090,Jernbanestasjonen,300
1,rik32119502,45090,C091,Hvervenmoen 3,800
1,rik32119502,45091,C092,Hvervenmoen 2,1250
1,rik32119502,45092,C093,Veienkollen 2,315
1,rik32119502,45093,C094,R?de Kors,200
1,rik32119502,45094,C095,Myrene,0
1,rik32119502,45095,C096,Folkeh?yskolen,500
1,rik32119502,45096,C097,Tittut,300
1,rik32119502,45097,C098,Hvelven,200
1,rik32119502,45098,C099,Lyshaug,315
1,rik32119502,45099,C1,Tømmerrenseri,0
1,rik32119502,45100,C100,Tolpinrud 1,315
1,rik32119502,45101,C101,Kvil,0
1,rik32119502,45102,C102,Tolpinrud 2,315
1,rik32119502,45103,C103,H?yby Pumpestasjon,200
1,rik32119502,45104,C104,Overgangstasjonen,315
1,rik32119502,45105,C105,?stmoveien 14,200
1,rik32119502,45106,C106,Telegrafverket,300
1,rik32119502,45107,C107,L?chen - Fogth,630
1,rik32119502,45108,C108,Storgata 4,500
1,rik32119502,45109,C109,Kong Ringsgate 9,500
1,rik32119502,45110,C110,?deg?rdsveien,300
1,rik32119502,45111,C111,Hvalsmoveien 2,300
1,rik32119502,45112,C112,ANKERSGT. 5,300
1,rik32119502,45113,C113,H?sveis,800
1,rik32119502,45114,C114,Asbj?rnsensgate 1,300
1,rik32119502,45115,C115,Sommerveien,300
1,rik32119502,45116,C116,Hengsleveien 19,500
1,rik32119502,45117,C117,Hengsleveien 151,500
1,rik32119502,45118,C118,S?ndre Torv 2,630
1,rik32119502,45119,C119,Kirken,300
1,rik32119502,45120,C120,Storgata 10,500
1,rik32119502,45121,C121,Soknaveien 3,500
1,rik32119502,45122,C122,Arneg?rdsveien 51,300
1,rik32119502,45123,C123,Bohus,630
1,rik32119502,45124,C124,Tronrud n?ringsbygg,500
1,rik32119502,45125,C125,Bredalsveien,500
1,rik32119502,45126,C126,Slyngveien,500
1,rik32119502,45127,C127,Krokenveien 17,500
1,rik32119502,45128,C128,Begnamoen koblingsanlegg,0
1,rik32119502,45129,C129,Begnamoen,300
1,rik32119502,45130,C130,Dina Follum,300
1,rik32119502,45131,C131,H?ybyveien 26,500
1,rik32119502,45132,C132,Bakkeveien,315
1,rik32119502,45133,C133,Rabbaveien 85,200
1,rik32119502,45134,C134,LUDV. GR?NVOLDSVEG 3,300
1,rik32119502,45135,C135,Sverre Halvorsensvei,300
1,rik32119502,45136,C136,Paludansgate,500
1,rik32119502,45137,C137,Monserud Renseanlegg,200
1,rik32119502,45138,C138,Riperbakken,500
1,rik32119502,45139,C139,Vinterroveien,200
1,rik32119502,45140,C140,Begnaveien,300
1,rik32119502,45141,C141,Hofsfossveien 139,315
1,rik32119502,45142,C142,Barbro pumpestasjon,315
1,rik32119502,45143,C143,Trulserudveien 21,300
1,rik32119502,45144,C144,Veienkollen,100
1,rik32119502,45145,C145,Konglefaret,315
1,rik32119502,45146,C146,Gartnerveien,315
1,rik32119502,45147,C147,Monserud trafostasjon,100
1,rik32119502,45148,C148,N.G.O. 2,500
1,rik32119502,45149,C149,Nordre Torv 2,630
1,rik32119502,45150,C150,Eikli g?rd,200
1,rik32119502,45151,C151,Aspelin,500
1,rik32119502,45152,C152,N.G.O. 1,1600
1,rik32119502,45153,C153,Hofsfossveien 139,200
1,rik32119502,45154,C154,Ringeriksgata Pumpestasjon,200
1,rik32119502,45155,C155,Dalsbr?ten vannpumpest.,630
1,rik32119502,45156,C156,Hvervenkastet,315
1,rik32119502,45157,C157,Veienmarka Ungdomskole,500
1,rik32119502,45158,C158,Veien gamle skole,315
1,rik32119502,45159,C159,Hvervenmoen,800
1,rik32119502,45160,C160,Birkebeinerveien,1250
1,rik32119502,45161,C161,Veigin 1,315
1,rik32119502,45162,C162,VEIGIN 2,315
